agent1,agent2,maps,run,scores,ticks
MCTS: (75;3;15),RandomController,data/maps/level2.txt,0,1.0,347
MCTS: (75;3;15),RandomController,data/maps/level3.txt,0,0.0,2000
MCTS: (75;3;15),RandomController,data/maps/level4.txt,0,0.75,2000
MCTS: (75;3;15),RandomController,data/maps/level5.txt,0,0.0,2000
MCTS: (75;3;15),RandomController,data/maps/level6.txt,0,0.25,2000
MCTS: (75;3;15),RandomController,data/maps/level1E.txt,0,1.0,402
MCTS: (200;5;30),MCTS: (500;10;45),data/maps/level1.txt,0,1.0,228
MCTS: (200;5;30),MCTS: (500;10;45),data/maps/level2.txt,0,1.0,90
MCTS: (200;5;30),MCTS: (500;10;45),data/maps/level3.txt,0,1.0,98
MCTS: (200;5;30),MCTS: (500;10;45),data/maps/level4.txt,0,1.0,563
MCTS: (200;5;30),MCTS: (500;10;45),data/maps/level5.txt,0,1.0,1933
MCTS: (200;5;30),MCTS: (500;10;45),data/maps/level6.txt,0,1.0,468
MCTS: (200;5;30),MCTS: (500;10;45),data/maps/level1E.txt,0,1.0,15
MCTS: (200;5;30),MCTS: (75;3;15),data/maps/level1.txt,0,0.5,2000
MCTS: (200;5;30),MCTS: (75;3;15),data/maps/level2.txt,0,1.0,274
MCTS: (200;5;30),MCTS: (75;3;15),data/maps/level3.txt,0,0.0,2000
MCTS: (200;5;30),MCTS: (75;3;15),data/maps/level4.txt,0,0.75,2000
MCTS: (200;5;30),MCTS: (75;3;15),data/maps/level5.txt,0,0.0,2000
MCTS: (200;5;30),MCTS: (75;3;15),data/maps/level6.txt,0,0.5,2000
MCTS: (200;5;30),MCTS: (75;3;15),data/maps/level1E.txt,0,1.0,17
MCTS: (200;5;30),MCTS: (200;5;30),data/maps/level1.txt,0,1.0,428
MCTS: (200;5;30),MCTS: (200;5;30),data/maps/level2.txt,0,1.0,120
MCTS: (200;5;30),MCTS: (200;5;30),data/maps/level3.txt,0,1.0,982
MCTS: (200;5;30),MCTS: (200;5;30),data/maps/level4.txt,0,1.0,110
MCTS: (200;5;30),MCTS: (200;5;30),data/maps/level5.txt,0,0.0,2000
MCTS: (200;5;30),MCTS: (200;5;30),data/maps/level6.txt,0,0.75,2000
MCTS: (200;5;30),MCTS: (200;5;30),data/maps/level1E.txt,0,1.0,15
MCTS: (200;5;30),VariGA,data/maps/level1.txt,0,0.0,2000
MCTS: (200;5;30),VariGA,data/maps/level2.txt,0,1.0,333
MCTS: (200;5;30),VariGA,data/maps/level3.txt,0,0.5,2000
MCTS: (200;5;30),VariGA,data/maps/level4.txt,0,1.0,216
MCTS: (200;5;30),VariGA,data/maps/level5.txt,0,0.0,2000
MCTS: (200;5;30),VariGA,data/maps/level6.txt,0,0.5,2000
MCTS: (200;5;30),VariGA,data/maps/level1E.txt,0,1.0,22
MCTS: (200;5;30),GAController,data/maps/level1.txt,0,1.0,1547
MCTS: (200;5;30),GAController,data/maps/level2.txt,0,1.0,362
MCTS: (200;5;30),GAController,data/maps/level3.txt,0,0.5,2000
MCTS: (200;5;30),GAController,data/maps/level4.txt,0,0.75,2000
MCTS: (200;5;30),GAController,data/maps/level5.txt,0,0.0,2000
MCTS: (200;5;30),GAController,data/maps/level6.txt,0,0.75,2000
MCTS: (200;5;30),GAController,data/maps/level1E.txt,0,1.0,1199
MCTS: (200;5;30),RandomController,data/maps/level1.txt,0,0.5,2000
MCTS: (200;5;30),RandomController,data/maps/level2.txt,0,1.0,1574
MCTS: (200;5;30),RandomController,data/maps/level3.txt,0,0.5,2000
MCTS: (200;5;30),RandomController,data/maps/level4.txt,0,1.0,1166
MCTS: (200;5;30),RandomController,data/maps/level5.txt,0,1.0,1425
MCTS: (200;5;30),RandomController,data/maps/level6.txt,0,0.75,2000
MCTS: (200;5;30),RandomController,data/maps/level1E.txt,0,1.0,544
VariGA,MCTS: (500;10;45),data/maps/level1.txt,0,1.0,158
VariGA,MCTS: (500;10;45),data/maps/level2.txt,0,1.0,120
VariGA,MCTS: (500;10;45),data/maps/level3.txt,0,1.0,1203
VariGA,MCTS: (500;10;45),data/maps/level4.txt,0,1.0,813
VariGA,MCTS: (500;10;45),data/maps/level5.txt,0,1.0,1570
VariGA,MCTS: (500;10;45),data/maps/level6.txt,0,1.0,1538
VariGA,MCTS: (500;10;45),data/maps/level1E.txt,0,1.0,29
VariGA,MCTS: (75;3;15),data/maps/level1.txt,0,0.5,2000
VariGA,MCTS: (75;3;15),data/maps/level2.txt,0,0.0,2000
VariGA,MCTS: (75;3;15),data/maps/level3.txt,0,0.0,2000
VariGA,MCTS: (75;3;15),data/maps/level4.txt,0,0.75,2000
VariGA,MCTS: (75;3;15),data/maps/level5.txt,0,0.0,2000
VariGA,MCTS: (75;3;15),data/maps/level6.txt,0,0.25,2000
VariGA,MCTS: (75;3;15),data/maps/level1E.txt,0,1.0,28
VariGA,MCTS: (200;5;30),data/maps/level1.txt,0,1.0,379
VariGA,MCTS: (200;5;30),data/maps/level2.txt,0,1.0,846
VariGA,MCTS: (200;5;30),data/maps/level3.txt,0,1.0,808
VariGA,MCTS: (200;5;30),data/maps/level4.txt,0,1.0,1487
VariGA,MCTS: (200;5;30),data/maps/level5.txt,0,0.0,2000
VariGA,MCTS: (200;5;30),data/maps/level6.txt,0,0.25,2000
VariGA,MCTS: (200;5;30),data/maps/level1E.txt,0,1.0,22
VariGA,VariGA,data/maps/level1.txt,0,0.0,2000
VariGA,VariGA,data/maps/level2.txt,0,0.0,2000
VariGA,VariGA,data/maps/level3.txt,0,0.0,2000
VariGA,VariGA,data/maps/level4.txt,0,1.0,1894
VariGA,VariGA,data/maps/level5.txt,0,0.0,2000
VariGA,VariGA,data/maps/level6.txt,0,0.0,2000
VariGA,VariGA,data/maps/level1E.txt,0,1.0,40
VariGA,GAController,data/maps/level1.txt,0,0.0,2000
VariGA,GAController,data/maps/level2.txt,0,0.5,2000
VariGA,GAController,data/maps/level3.txt,0,0.0,2000
VariGA,GAController,data/maps/level4.txt,0,0.75,2000
VariGA,GAController,data/maps/level5.txt,0,0.0,2000
VariGA,GAController,data/maps/level6.txt,0,0.25,2000
VariGA,GAController,data/maps/level1E.txt,0,1.0,125
VariGA,RandomController,data/maps/level1.txt,0,0.0,2000
VariGA,RandomController,data/maps/level2.txt,0,0.0,2000
VariGA,RandomController,data/maps/level3.txt,0,0.5,2000
VariGA,RandomController,data/maps/level4.txt,0,0.75,2000
VariGA,RandomController,data/maps/level5.txt,0,0.0,2000
VariGA,RandomController,data/maps/level6.txt,0,0.25,2000
VariGA,RandomController,data/maps/level1E.txt,0,1.0,147
GAController,MCTS: (500;10;45),data/maps/level1.txt,0,1.0,476
GAController,MCTS: (500;10;45),data/maps/level2.txt,0,1.0,608
GAController,MCTS: (500;10;45),data/maps/level3.txt,0,1.0,1010
GAController,MCTS: (500;10;45),data/maps/level4.txt,0,1.0,332
GAController,MCTS: (500;10;45),data/maps/level5.txt,0,1.0,1490
GAController,MCTS: (500;10;45),data/maps/level6.txt,0,1.0,683
GAController,MCTS: (500;10;45),data/maps/level1E.txt,0,1.0,221
GAController,MCTS: (75;3;15),data/maps/level1.txt,0,0.5,2000
GAController,MCTS: (75;3;15),data/maps/level2.txt,0,1.0,412
GAController,MCTS: (75;3;15),data/maps/level3.txt,0,0.0,2000
GAController,MCTS: (75;3;15),data/maps/level4.txt,0,0.75,2000
GAController,MCTS: (75;3;15),data/maps/level5.txt,0,0.0,2000
GAController,MCTS: (75;3;15),data/maps/level6.txt,0,0.25,2000
GAController,MCTS: (75;3;15),data/maps/level1E.txt,0,1.0,89
GAController,MCTS: (200;5;30),data/maps/level1.txt,0,1.0,434
GAController,MCTS: (200;5;30),data/maps/level2.txt,0,1.0,362
GAController,MCTS: (200;5;30),data/maps/level3.txt,0,1.0,939
GAController,MCTS: (200;5;30),data/maps/level4.txt,0,1.0,655
GAController,MCTS: (200;5;30),data/maps/level5.txt,0,0.0,2000
GAController,MCTS: (200;5;30),data/maps/level6.txt,0,0.25,2000
GAController,MCTS: (200;5;30),data/maps/level1E.txt,0,1.0,200
GAController,VariGA,data/maps/level1.txt,0,0.0,2000
GAController,VariGA,data/maps/level2.txt,0,1.0,116
GAController,VariGA,data/maps/level3.txt,0,0.25,2000
GAController,VariGA,data/maps/level4.txt,0,0.75,2000
GAController,VariGA,data/maps/level5.txt,0,0.0,2000
GAController,VariGA,data/maps/level6.txt,0,0.5,2000
GAController,VariGA,data/maps/level1E.txt,0,1.0,602
GAController,GAController,data/maps/level1.txt,0,0.0,2000
GAController,GAController,data/maps/level2.txt,0,1.0,1607
GAController,GAController,data/maps/level3.txt,0,0.5,2000
GAController,GAController,data/maps/level4.txt,0,0.5,2000
GAController,GAController,data/maps/level5.txt,0,0.0,2000
GAController,GAController,data/maps/level6.txt,0,0.25,2000
GAController,GAController,data/maps/level1E.txt,0,1.0,527
GAController,RandomController,data/maps/level1.txt,0,0.5,2000
GAController,RandomController,data/maps/level2.txt,0,0.5,2000
GAController,RandomController,data/maps/level3.txt,0,0.5,2000
GAController,RandomController,data/maps/level4.txt,0,0.75,2000
GAController,RandomController,data/maps/level5.txt,0,0.0,2000
GAController,RandomController,data/maps/level6.txt,0,0.25,2000
GAController,RandomController,data/maps/level1E.txt,0,1.0,503
RandomController,MCTS: (500;10;45),data/maps/level1.txt,0,1.0,684
RandomController,MCTS: (500;10;45),data/maps/level2.txt,0,1.0,349
RandomController,MCTS: (500;10;45),data/maps/level3.txt,0,1.0,1107
RandomController,MCTS: (500;10;45),data/maps/level4.txt,0,1.0,1225
RandomController,MCTS: (500;10;45),data/maps/level5.txt,0,1.0,1024
RandomController,MCTS: (500;10;45),data/maps/level6.txt,0,0.5,2000
RandomController,MCTS: (500;10;45),data/maps/level1E.txt,0,1.0,313
